Pairing	Cycle	Test_Repetition	Group	Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N	Int_Rot_N	Ext_Rot_Order	Int_Rot_Order
Pairing 2	1	1	T0	03Q1	m	UY8N	m	XKHX	f	203,3	327,9	1	2
Pairing 2	4	2	T0	03Q1	m	UY8N	m	XKHX	f	191,7	275,4	2	1
Pairing 2	7	3	T0	03Q1	m	UY8N	m	XKHX	f	197,1	314,1	2	1
Pairing 1	1	1	T0	03Q1	m	XKHX	f	UY8N	m	108,1	135,7	1	2
Pairing 1	4	2	T0	03Q1	m	XKHX	f	UY8N	m	117,0	135,7	1	2
Pairing 1	7	3	T0	03Q1	m	XKHX	f	UY8N	m	122,7	141,4	1	2
Pairing 2	2	1	V7	0G2E	f	C9QY	f	GWZ3	f	78,7	118,3	2	1
Pairing 2	6	2	V7	0G2E	f	C9QY	f	GWZ3	f	93,8	118,7	1	2
Pairing 2	10	3	V7	0G2E	f	C9QY	f	GWZ3	f	97,4	122,7	1	2
Pairing 1	3	1	V7	0G2E	f	GWZ3	f	IWEV	m	123,0	148,0	1	2
Pairing 1	7	2	V7	0G2E	f	GWZ3	f	IWEV	m	113,9	138,3	2	1
Pairing 1	11	3	V7	0G2E	f	GWZ3	f	IWEV	m	104,1	145,9	1	2
Pairing 1	2	1	L3	0PVW	f	9ID0	f	LB1H	f	159,2	185,0	2	1
Pairing 1	6	2	L3	0PVW	f	9ID0	f	LB1H	f	152,1	169,9	1	2
Pairing 1	10	3	L3	0PVW	f	9ID0	f	LB1H	f	149,0	165,9	1	2
Pairing 2	3	1	L3	0PVW	f	LB1H	f	MCAO	f	117,9	121,9	2	1
Pairing 2	7	2	L3	0PVW	f	LB1H	f	MCAO	f	116,1	122,7	2	1
Pairing 2	11	3	L3	0PVW	f	LB1H	f	MCAO	f	106,3	131,6	1	2
Pairing 2	2	1	M1	0W85	m	CV81	m	NE43	f	149,0	177,5	2	1
Pairing 2	6	2	M1	0W85	m	CV81	m	NE43	f	154,3	156,1	2	1
Pairing 2	10	3	M1	0W85	m	CV81	m	NE43	f	146,3	165,9	1	2
Pairing 1	3	1	M1	0W85	m	NE43	f	B01W	f	104,5	106,7	1	2
Pairing 1	7	2	M1	0W85	m	NE43	f	B01W	f	113,0	112,5	1	2
Pairing 1	11	3	M1	0W85	m	NE43	f	B01W	f	101,8	94,3	2	1
Pairing 1	3	1	8J	2ABW	f	FV50	m	VOFU	m	140,1	192,2	2	1
Pairing 1	6	2	8J	2ABW	f	FV50	m	VOFU	m	135,2	158,3	1	2
Pairing 1	9	3	8J	2ABW	f	FV50	m	VOFU	m	169,1	251,8	1	2
Pairing 2	2	1	8J	2ABW	f	VOFU	m	FV50	m	185,5	186,4	2	1
Pairing 2	5	2	8J	2ABW	f	VOFU	m	FV50	m	184,6	249,6	2	1
Pairing 2	8	3	8J	2ABW	f	VOFU	m	FV50	m	155,7	251,8	1	2
Pairing 1	2	1	Y7	2AI2	m	C9OV	m	SBL6	f	171,2	279,35	2	1
Pairing 1	6	2	Y7	2AI2	m	C9OV	m	SBL6	f	155,7	280,7	2	1
Pairing 1	10	3	Y7	2AI2	m	C9OV	m	SBL6	f	240,2	278,0	1	2
Pairing 2	3	1	Y7	2AI2	m	SBL6	f	7IJJ	f	121,9	141,0	1	2
Pairing 2	7	2	Y7	2AI2	m	SBL6	f	7IJJ	f	121,0	142,3	2	1
Pairing 2	11	3	Y7	2AI2	m	SBL6	f	7IJJ	f	106,7	132,1	1	2
Pairing 2	1	1	G8	2BW9	f	PIGD	m	W7B5	f	134,3	203,7	2	1
Pairing 2	5	2	G8	2BW9	f	PIGD	m	W7B5	f	127,6	205,5	2	1
Pairing 2	9	3	G8	2BW9	f	PIGD	m	W7B5	f	112,1	229,1	1	2
Pairing 1	1	1	G8	2BW9	f	W7B5	f	PIGD	m	92,5	106,7	2	1
Pairing 1	5	2	G8	2BW9	f	W7B5	f	PIGD	m	94,7	125,9	1	2
Pairing 1	9	3	G8	2BW9	f	W7B5	f	PIGD	m	97,4	108,1	2	1
Pairing 1	1	1	Y7	2TT1	f	7J9M	f	EQY3	f	99,0	130,0	1	2
Pairing 1	5	2	Y7	2TT1	f	7J9M	f	EQY3	f	100,0	139,0	2	1
Pairing 1	9	3	Y7	2TT1	f	7J9M	f	EQY3	f	117,0	147,0	2	1
Pairing 2	1	1	Y7	2TT1	f	EQY3	f	7J9M	f	113,0	162,0	2	1
Pairing 2	5	2	Y7	2TT1	f	EQY3	f	7J9M	f	100,0	183,0	1	2
Pairing 2	9	3	Y7	2TT1	f	EQY3	f	7J9M	f	108,0	177,0	2	1
Pairing 2	2	1	L3	3DSL	f	IFBB	f	LH1H	m	145,9	114,7	1	2
Pairing 2	5	2	L3	3DSL	f	IFBB	f	LH1H	m	136,5	137,4	2	1
Pairing 2	8	3	L3	3DSL	f	IFBB	f	LH1H	m	119,6	125,4	1	2
Pairing 1	3	1	L3	3DSL	f	LH1H	m	IFBB	f	168,1	173,0	2	1
Pairing 1	6	2	L3	3DSL	f	LH1H	m	IFBB	f	163,7	141,9	1	2
Pairing 1	9	3	L3	3DSL	f	LH1H	m	IFBB	f	151,2	127,2	2	1
Pairing 2	4	1	T0	3Y7T	f	KGRE	f	4N1T	f	95,2	160,6	2	1
Pairing 2	8	2	T0	3Y7T	f	KGRE	f	4N1T	f	100,9	147,7	2	1
Pairing 2	12	3	T0	3Y7T	f	KGRE	f	4N1T	f	105,4	148,6	1	2
Pairing 1	4	1	T0	3Y7T	f	KGRE	f	EBNE	m	109,4	136,0	1	2
Pairing 1	8	2	T0	3Y7T	f	KGRE	f	EBNE	m	113,9	151,7	1	2
Pairing 1	12	3	T0	3Y7T	f	KGRE	f	EBNE	m	105,8	150,8	1	2
Pairing 1	3	1	T0	4N1T	f	3Y7T	f	KGRE	f	92,0	110,7	2	1
Pairing 1	7	2	T0	4N1T	f	3Y7T	f	KGRE	f	100,9	85,4	2	1
Pairing 1	11	3	T0	4N1T	f	3Y7T	f	KGRE	f	91,6	93,8	2	1
Pairing 2	2	1	T0	4N1T	f	EBNE	m	3Y7T	f	156,6	133,9	2	1
Pairing 2	6	2	T0	4N1T	f	EBNE	m	3Y7T	f	177,5	154,3	2	1
Pairing 2	10	3	T0	4N1T	f	EBNE	m	3Y7T	f	138,8	196,0	1	2
Pairing 2	1	1	8J	4Z5T	f	C1BJ	m	MIV4	f	158,8	198,8	1	2
Pairing 2	4	2	8J	4Z5T	f	C1BJ	m	MIV4	f	162,3	206,4	1	2
Pairing 2	7	3	8J	4Z5T	f	C1BJ	m	MIV4	f	152,1	187,3	2	1
Pairing 1	1	1	8J	4Z5T	f	MIV4	f	C1BJ	m	107,2	132,5	1	2
Pairing 1	4	2	8J	4Z5T	f	MIV4	f	C1BJ	m	95,2	146,8	1	2
Pairing 1	7	3	8J	4Z5T	f	MIV4	f	C1BJ	m	95,2	111,6	1	2
Pairing 2	3	1	V7	54W1	m	MXT3	m	8YYM	f	161,5	209,1	1	2
Pairing 2	7	2	V7	54W1	m	MXT3	m	8YYM	f	136,1	222,4	2	1
Pairing 2	11	3	V7	54W1	m	MXT3	m	8YYM	f	129,4	227,8	2	1
Pairing 1	2	1	V7	54W1	m	URX1	f	MXT3	m	84,0	137,9	2	1
Pairing 1	6	2	V7	54W1	m	URX1	f	MXT3	m	82,7	130,3	2	1
Pairing 1	10	3	V7	54W1	m	URX1	f	MXT3	m	94,3	165,5	2	1
Pairing 1	4	1	Y7	6QVB	f	L07I	f	G5QJ	f	95,6	110,3	2	1
Pairing 1	8	2	Y7	6QVB	f	L07I	f	G5QJ	f	92,0	97,8	1	2
Pairing 1	12	3	Y7	6QVB	f	L07I	f	G5QJ	f	92,0	112,5	2	1
Pairing 2	4	1	Y7	6QVB	f	L07I	f	PBAN	f	76,5	99,6	1	2
Pairing 2	8	2	Y7	6QVB	f	L07I	f	PBAN	f	98,7	129,4	2	1
Pairing 2	12	3	Y7	6QVB	f	L07I	f	PBAN	f	102,3	113,0	1	2
Pairing 2	1	1	V7	71G1	m	D63N	m	QUVC	f	142,8	235,8	2	1
Pairing 2	5	2	V7	71G1	m	D63N	m	QUVC	f	148,6	234,9	1	2
Pairing 2	9	3	V7	71G1	m	D63N	m	QUVC	f	173,0	231,8	1	2
Pairing 1	1	1	V7	71G1	m	QUVC	f	D63N	m	138,8	176,6	1	2
Pairing 1	5	2	V7	71G1	m	QUVC	f	D63N	m	148,1	153,0	1	2
Pairing 1	9	3	V7	71G1	m	QUVC	f	D63N	m	118,7	169,9	2	1
Pairing 2	1	1	V7	7847	f	GONF	f	U24Z	f	117,9	162,3	2	1
Pairing 2	5	2	V7	7847	f	GONF	f	U24Z	f	136,1	146,3	2	1
Pairing 2	9	3	V7	7847	f	GONF	f	U24Z	f	82,3	133,4	2	1
Pairing 1	1	1	V7	7847	f	U24Z	f	GONF	f	168,6	173,0	1	2
Pairing 1	5	2	V7	7847	f	U24Z	f	GONF	f	119,6	132,1	2	1
Pairing 1	9	3	V7	7847	f	U24Z	f	GONF	f	119,2	133,9	1	2
Pairing 1	1	1	Y7	7IJJ	f	2AI2	m	C9OV	m	204,0	327,0	2	1
Pairing 1	5	2	Y7	7IJJ	f	2AI2	m	C9OV	m	146,3	256,7	2	1
Pairing 1	9	3	Y7	7IJJ	f	2AI2	m	C9OV	m	131,6	227,3	1	2
Pairing 2	1	1	Y7	7IJJ	f	C9OV	m	2AI2	m	155,7	256,2	2	1
