Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N_P1_Test1	Ext_Rot_N_P1_Test2	Ext_Rot_N_P1_Test3	Ext_Rot_N_P2_Test1	Ext_Rot_N_P2_Test2	Ext_Rot_N_P2_Test3	Int_Rot_N_P1_Test1	Int_Rot_N_P1_Test2	Int_Rot_N_P1_Test3	Int_Rot_N_P2_Test1	Int_Rot_N_P2_Test2	Int_Rot_N_P2_Test3
03Q1	m	UY8N	m	XKHX	f	nan	nan	nan	203,3	191,7	197,1	nan	nan	nan	327,9	275,4	314,1
03Q1	m	XKHX	f	UY8N	m	108,1	117,0	122,7	nan	nan	nan	135,7	135,7	141,4	nan	nan	nan
0G2E	f	C9QY	f	GWZ3	f	nan	nan	nan	78,7	93,8	97,4	nan	nan	nan	118,3	118,7	122,7
0G2E	f	GWZ3	f	IWEV	m	123,0	113,9	104,1	nan	nan	nan	148,0	138,3	145,9	nan	nan	nan
0PVW	f	9ID0	f	LB1H	f	159,2	152,1	149,0	nan	nan	nan	185,0	169,9	165,9	nan	nan	nan
0PVW	f	LB1H	f	MCAO	f	nan	nan	nan	117,9	116,1	106,3	nan	nan	nan	121,9	122,7	131,6
0W85	m	CV81	m	NE43	f	nan	nan	nan	149,0	154,3	146,3	nan	nan	nan	177,5	156,1	165,9
0W85	m	NE43	f	B01W	f	104,5	113,0	101,8	nan	nan	nan	106,7	112,5	94,3	nan	nan	nan
2ABW	f	FV50	m	VOFU	m	140,1	135,2	169,1	nan	nan	nan	192,2	158,3	251,8	nan	nan	nan
2ABW	f	VOFU	m	FV50	m	nan	nan	nan	185,5	184,6	155,7	nan	nan	nan	186,4	249,6	251,8
2AI2	m	C9OV	m	SBL6	f	171,2	155,7	240,2	nan	nan	nan	279,35	280,7	278,0	nan	nan	nan
2AI2	m	SBL6	f	7IJJ	f	nan	nan	nan	121,9	121,0	106,7	nan	nan	nan	141,0	142,3	132,1
2BW9	f	PIGD	m	W7B5	f	nan	nan	nan	134,3	127,6	112,1	nan	nan	nan	203,7	205,5	229,1
2BW9	f	W7B5	f	PIGD	m	92,5	94,7	97,4	nan	nan	nan	106,7	125,9	108,1	nan	nan	nan
2TT1	f	7J9M	f	EQY3	f	99,0	100,0	117,0	nan	nan	nan	130,0	139,0	147,0	nan	nan	nan
2TT1	f	EQY3	f	7J9M	f	nan	nan	nan	113,0	100,0	108,0	nan	nan	nan	162,0	183,0	177,0
